id,latest_ep,name,genre,status,score,review,publish_year,duration,link
3078,120/124,Phàm Nhân Tu Tiên,CN Animation,Đang tiến hành,9.4,1992,2020,124 Tập,https://animehay.cam/thong-tin-phim/pham-nhan-tu-tien-3078.html
3078,120/124,Phàm Nhân Tu Tiên,Tiên hiệp,Đang tiến hành,9.4,1992,2020,124 Tập,https://animehay.cam/thong-tin-phim/pham-nhan-tu-tien-3078.html
3078,120/124,Phàm Nhân Tu Tiên,Huyền ảo,Đang tiến hành,9.4,1992,2020,124 Tập,https://animehay.cam/thong-tin-phim/pham-nhan-tu-tien-3078.html
3682,23/24,NieR:Automata Ver1.1a,Anime,Đang tiến hành,8.2,194,2023,24 Tập,https://animehay.cam/thong-tin-phim/nier-automata-ver1-1a-3682.html
3682,23/24,NieR:Automata Ver1.1a,Hành động,Đang tiến hành,8.2,194,2023,24 Tập,https://animehay.cam/thong-tin-phim/nier-automata-ver1-1a-3682.html
3682,23/24,NieR:Automata Ver1.1a,Giả tưởng,Đang tiến hành,8.2,194,2023,24 Tập,https://animehay.cam/thong-tin-phim/nier-automata-ver1-1a-3682.html
3682,23/24,NieR:Automata Ver1.1a,Viễn tưởng,Đang tiến hành,8.2,194,2023,24 Tập,https://animehay.cam/thong-tin-phim/nier-automata-ver1-1a-3682.html
4092,12/??,Shikanoko Nokonoko Koshitantan,Anime,Đang tiến hành,8.4,123,2024,?? Tập,https://animehay.cam/thong-tin-phim/shikanoko-nokonoko-koshitantan-4092.html
4092,12/??,Shikanoko Nokonoko Koshitantan,Hài hước,Đang tiến hành,8.4,123,2024,?? Tập,https://animehay.cam/thong-tin-phim/shikanoko-nokonoko-koshitantan-4092.html
4092,12/??,Shikanoko Nokonoko Koshitantan,Học đường,Đang tiến hành,8.4,123,2024,?? Tập,https://animehay.cam/thong-tin-phim/shikanoko-nokonoko-koshitantan-4092.html
3559,24/43,Thần Mộ,CN Animation,Hoàn thành,9.2,547,2022,43 Tập,https://animehay.cam/thong-tin-phim/than-mo-3559.html
3559,24/43,Thần Mộ,Tiên hiệp,Hoàn thành,9.2,547,2022,43 Tập,https://animehay.cam/thong-tin-phim/than-mo-3559.html
3559,24/43,Thần Mộ,Trùng sinh,Hoàn thành,9.2,547,2022,43 Tập,https://animehay.cam/thong-tin-phim/than-mo-3559.html
3559,24/43,Thần Mộ,Huyền ảo,Hoàn thành,9.2,547,2022,43 Tập,https://animehay.cam/thong-tin-phim/than-mo-3559.html
4097,12/12,Tasogare Outfocus,Anime,Hoàn thành,3.3,121,2024,12 Tập,https://animehay.cam/thong-tin-phim/tasogare-outfocus-4097.html
4097,12/12,Tasogare Outfocus,Học đường,Hoàn thành,3.3,121,2024,12 Tập,https://animehay.cam/thong-tin-phim/tasogare-outfocus-4097.html
