id,latest_ep,name,genre,status,score,review,publish_year,duration,link
4114,11/??,Kinnikuman Perfect Origin Arc,Anime,Đang tiến hành,2.8,30,2024,?? Tập,https://animehay.cam/thong-tin-phim/kinnikuman-perfect-origin-arc-4114.html
4114,11/??,Kinnikuman Perfect Origin Arc,Hài hước,Đang tiến hành,2.8,30,2024,?? Tập,https://animehay.cam/thong-tin-phim/kinnikuman-perfect-origin-arc-4114.html
4114,11/??,Kinnikuman Perfect Origin Arc,Thể thao,Đang tiến hành,2.8,30,2024,?? Tập,https://animehay.cam/thong-tin-phim/kinnikuman-perfect-origin-arc-4114.html
4054,24/??,The Fable,Anime,Đang tiến hành,6.8,35,2024,?? Tập,https://animehay.cam/thong-tin-phim/the-fable-4054.html
4054,24/??,The Fable,Hài hước,Đang tiến hành,6.8,35,2024,?? Tập,https://animehay.cam/thong-tin-phim/the-fable-4054.html
4054,24/??,The Fable,Seinen,Đang tiến hành,6.8,35,2024,?? Tập,https://animehay.cam/thong-tin-phim/the-fable-4054.html
4043,25/??,Mission: Yozakura Family,Anime,Đang tiến hành,8.4,148,2024,?? Tập,https://animehay.cam/thong-tin-phim/mission-yozakura-family-4043.html
4043,25/??,Mission: Yozakura Family,Hành động,Đang tiến hành,8.4,148,2024,?? Tập,https://animehay.cam/thong-tin-phim/mission-yozakura-family-4043.html
4043,25/??,Mission: Yozakura Family,Hài hước,Đang tiến hành,8.4,148,2024,?? Tập,https://animehay.cam/thong-tin-phim/mission-yozakura-family-4043.html
4043,25/??,Mission: Yozakura Family,Tình cảm,Đang tiến hành,8.4,148,2024,?? Tập,https://animehay.cam/thong-tin-phim/mission-yozakura-family-4043.html
4043,25/??,Mission: Yozakura Family,Siêu năng lực,Đang tiến hành,8.4,148,2024,?? Tập,https://animehay.cam/thong-tin-phim/mission-yozakura-family-4043.html
4129,10/??,Monogatari Series: Off & Monster Season,Anime,Đang tiến hành,7.8,29,2024,?? Tập,https://animehay.cam/thong-tin-phim/monogatari-series-off-monster-season-4129.html
4129,10/??,Monogatari Series: Off & Monster Season,Hài hước,Đang tiến hành,7.8,29,2024,?? Tập,https://animehay.cam/thong-tin-phim/monogatari-series-off-monster-season-4129.html
4129,10/??,Monogatari Series: Off & Monster Season,Bí ẩn,Đang tiến hành,7.8,29,2024,?? Tập,https://animehay.cam/thong-tin-phim/monogatari-series-off-monster-season-4129.html
4129,10/??,Monogatari Series: Off & Monster Season,Siêu nhiên,Đang tiến hành,7.8,29,2024,?? Tập,https://animehay.cam/thong-tin-phim/monogatari-series-off-monster-season-4129.html
4129,10/??,Monogatari Series: Off & Monster Season,Ma cà rồng,Đang tiến hành,7.8,29,2024,?? Tập,https://animehay.cam/thong-tin-phim/monogatari-series-off-monster-season-4129.html
