id,name,genre,status,score,review,publish_year,duration,link
4025,Kara no Kyoukai Remix: Gate of Seventh Heaven,Hành động,Hoàn thành,9.6,43,2009,61 phút,https://animehay.in/thong-tin-phim/kara-no-kyoukai-remix-gate-of-seventh-heaven-2168.html
4025,Kara no Kyoukai Remix: Gate of Seventh Heaven,Tình cảm,Hoàn thành,9.6,43,2009,61 phút,https://animehay.in/thong-tin-phim/kara-no-kyoukai-remix-gate-of-seventh-heaven-2168.html
4025,Kara no Kyoukai Remix: Gate of Seventh Heaven,Siêu nhiên,Hoàn thành,9.6,43,2009,61 phút,https://animehay.in/thong-tin-phim/kara-no-kyoukai-remix-gate-of-seventh-heaven-2168.html
4025,Kara no Kyoukai Remix: Gate of Seventh Heaven,Bí ẩn,Hoàn thành,9.6,43,2009,61 phút,https://animehay.in/thong-tin-phim/kara-no-kyoukai-remix-gate-of-seventh-heaven-2168.html
4025,Kara no Kyoukai Remix: Gate of Seventh Heaven,Thriller,Hoàn thành,9.6,43,2009,61 phút,https://animehay.in/thong-tin-phim/kara-no-kyoukai-remix-gate-of-seventh-heaven-2168.html
4025,Kara no Kyoukai 1: Fukan Fuukei,Anime,Hoàn thành,9.3,103,2007,8 Tập,https://animehay.in/thong-tin-phim/kara-no-kyoukai-1-fukan-fuukei-2167.html
4025,Kara no Kyoukai 1: Fukan Fuukei,Hành động,Hoàn thành,9.3,103,2007,8 Tập,https://animehay.in/thong-tin-phim/kara-no-kyoukai-1-fukan-fuukei-2167.html
4025,Kara no Kyoukai 1: Fukan Fuukei,Siêu nhiên,Hoàn thành,9.3,103,2007,8 Tập,https://animehay.in/thong-tin-phim/kara-no-kyoukai-1-fukan-fuukei-2167.html
4025,Kara no Kyoukai 1: Fukan Fuukei,Bí ẩn,Hoàn thành,9.3,103,2007,8 Tập,https://animehay.in/thong-tin-phim/kara-no-kyoukai-1-fukan-fuukei-2167.html
4025,Kara no Kyoukai 1: Fukan Fuukei,Thriller,Hoàn thành,9.3,103,2007,8 Tập,https://animehay.in/thong-tin-phim/kara-no-kyoukai-1-fukan-fuukei-2167.html
4025,Kami nomi zo Shiru Sekai: 4-nin to Idol,Anime,Hoàn thành,9.0,35,2011,24 phút,https://animehay.in/thong-tin-phim/kami-nomi-zo-shiru-sekai-4-nin-to-idol-2166.html
4025,Kami nomi zo Shiru Sekai: 4-nin to Idol,Hài hước,Hoàn thành,9.0,35,2011,24 phút,https://animehay.in/thong-tin-phim/kami-nomi-zo-shiru-sekai-4-nin-to-idol-2166.html
